method,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_hybrid_regime_aware_policy,2021-07-29,13414.258129529177,0.004179133369229593,0.0,1.0,0.0,0.004170425045105195,0.025440659145077368,0.02781015605566003,-0.8875937577735988,13358.431462842245
ppo_hybrid_regime_aware_policy,2021-07-30,13363.020867133031,-0.0038196120800266797,0.0,1.0,0.0,-0.003918952685561452,0.029163097776109655,0.024722303771882143,-1.0111078491247143,13414.258129529177
ppo_hybrid_regime_aware_policy,2021-08-02,13319.813020176725,-0.0032333891704515727,0.0,1.0,0.0,-0.00332581202428131,0.03230219130203509,0.02777367249418481,-0.8890531002326078,13363.020867133031
ppo_hybrid_regime_aware_policy,2021-08-03,13424.581663666113,0.00786562418936998,0.0,1.0,0.0,0.007834851426755092,0.02469064400994003,0.03440562147380892,-0.6237751410476433,13319.813020176725
ppo_hybrid_regime_aware_policy,2021-08-04,13306.047141097555,-0.00882966229699167,0.0,1.0,0.0,-0.009101247824688335,0.03330229625842864,0.026983563705422,-0.92065745178312,13424.581663666113
ppo_hybrid_regime_aware_policy,2021-08-05,13406.22754719275,0.00752893816118938,0.0,1.0,0.0,0.007500737166845599,0.026024089026394564,0.026768587138260358,-0.9292565144695858,13306.047141097555
ppo_hybrid_regime_aware_policy,2021-08-06,13462.818531146515,0.0042212459660671,0.0,1.0,0.0,0.004212361500880627,0.021912697141150683,0.023273963616525353,-1.069041455338986,13406.22754719275
ppo_hybrid_regime_aware_policy,2021-08-09,13426.875782363211,-0.002669778895121322,0.0,1.0,0.0,-0.0027190855876724923,0.024523973979909405,0.01751498589682827,-1.299400564126869,13462.818531146515
ppo_hybrid_regime_aware_policy,2021-08-10,13487.290686444334,0.00449955038390093,0.0,1.0,0.0,0.004489457670861317,0.020134770452544547,0.020729783714703943,-1.1708086514118423,13426.875782363211
ppo_hybrid_regime_aware_policy,2021-08-11,13571.793836844974,0.006265391053339675,0.0,1.0,0.0,0.00624584509039685,0.01399553160985927,0.021287189165633505,-1.14851243337466,13487.290686444334
ppo_hybrid_regime_aware_policy,2021-08-12,13582.882855145333,0.0008170635682849259,0.0,1.0,0.0,0.0008167299535582081,0.01318990328057158,0.01827830552880727,-1.2688677788477092,13571.793836844974
