date,asset,asset_label,method,method_label,portfolio_value,cumulative_return,daily_returns,turnover
2022-07-22,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12149.318566621632,0.2149318566621632,-0.0092780965614749,0.0
2022-07-25,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12164.079270366185,0.21640792703661837,0.001214940876199,0.0
2022-07-26,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12020.165928002294,0.20201659280022932,-0.011831009907547,0.0
2022-07-27,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12332.285977714186,0.23322859777141858,0.0259663678173338,0.0
2022-07-28,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12486.96227457272,0.24869622745727193,0.0125423864754719,0.0
2022-07-29,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12669.006261894869,0.26690062618948684,0.014578724858715,0.0
2022-08-01,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12631.490294344749,0.26314902943447493,-0.0029612399563617,0.0
2022-08-02,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12548.15599126002,0.25481559912600216,-0.006597345296781,0.0
2022-08-03,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12744.653812842049,0.27446538128420483,0.0156594978352908,0.0
2022-08-04,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12736.04363693409,0.2736043636934089,-0.0006755911956809,0.0
2022-08-05,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12714.517727944803,0.2714517727944803,-0.0016901566611206,0.0
2022-08-08,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12699.757024200257,0.26997570242002555,-0.0011609330420851,0.0
2022-08-09,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12649.326262007597,0.26493262620075964,-0.0039710021299272,0.0
2022-08-10,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12915.012360337949,0.29150123603379496,0.0210039722928438,0.0
2022-08-11,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12915.012360337949,0.29150123603379496,0.0,0.0
2022-08-12,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,13133.6507683174,0.31336507683174,0.0169290126775947,0.0
2022-08-15,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,13187.7714718365,0.31877714718365,0.0041207661505402,0.0
2022-08-16,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,13213.60293799916,0.32136029379991604,0.0019587438421893,0.0
2022-08-17,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,13119.812549904462,0.31198125499044616,-0.0070980177423811,0.0
2022-08-18,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,13157.944133301517,0.31579441333015157,0.0029064122106936,0.0
2022-08-19,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12981.127250045558,0.2981127250045559,-0.0134380326793189,0.0
2022-08-22,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12710.827786618367,0.2710827786618366,-0.0208224954752092,0.0
2022-08-23,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12680.077024312985,0.26800770243129857,-0.0024192572522898,0.0
2022-08-24,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12720.6682557814,0.27206682557814,0.0032011817744155,0.0
2022-08-25,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12900.25259503219,0.2900252595032191,0.0141175239885036,0.0
2022-08-26,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12463.591394920217,0.2463591394920217,-0.0338490426365859,0.0
2022-08-29,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12381.179577167097,0.23811795771670963,-0.0066122047122556,0.0
2022-08-30,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12245.260794864227,0.22452607948642278,-0.0109778540449833,0.0
2022-08-31,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12152.086022616468,0.21520860226164684,-0.0076090475987934,0.0
2022-09-01,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12190.21760601352,0.21902176060135203,0.0031378631887633,0.0
2022-09-02,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12061.678706363531,0.206167870636353,-0.0105444302804388,0.0
2022-09-06,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12016.16817875239,0.2016168178752391,-0.0037731503813919,0.0
2022-09-07,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12232.038192298223,0.22320381922982224,0.0179649627347548,0.0
2022-09-08,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12311.990361979984,0.23119903619799853,0.0065362916976583,0.0
2022-09-09,SPY,SPY (S&P 500 ETF),ppo_profit_only,PPO-Profit,12503.260141057028,0.2503260141057029,0.0155352443799576,0.0
